BJD - 2454833, Corrected Flux
2309.859393004, 0.992035806,
2309.879825055, 0.992644355,
2309.900257105, 0.992215185,
2309.920689254, 0.992381715,
2309.941121203, 0.992375789,
2309.961553252, 0.992093384,
2309.981985401, 0.992291209,
2310.002417349, 0.992262372,
2310.022849396, 0.992560326,
2310.043281543, 0.992291023,
2310.063713490, 0.992625074,
2310.084145536, 0.992210749,
2310.104577682, 0.991957999,
2310.125009627, 0.992135153,
2310.145441673, 0.991633979,
2310.165873817, 0.992150629,
2310.186305761, 0.992212527,
2310.206737805, 0.992277985,
2310.227169949, 0.991897258,
2310.247601892, 0.992275111,
2310.268033934, 0.992195844,
2310.288466077, 0.992243538,
2310.308898118, 0.992166819,
2310.329330160, 0.992031714,
2310.349762201, 0.992325316,
2310.370194141, 0.992166744,
2310.390626281, 0.992089524,
2310.411058321, 0.992380637,
2310.431490260, 0.992332817,
2310.451922399, 0.991879752,
2310.492786376, 0.992364942,
2310.513218513, 0.991920673,
2310.533650551, 0.992156140,
2310.554082488, 0.991810489,
2310.574514624, 0.992025615,
2310.594946660, 0.992156629,
2310.615378596, 0.992157776,
2310.635810731, 0.992155302,
2310.656242765, 0.992163508,
2310.676674800, 0.992346630,
2310.697106834, 0.992173666,
2310.737970901, 0.992339373,
2310.758403034, 0.992233775,
2310.778834966, 0.991971631,
2310.799266998, 0.991757602,
2310.819699129, 0.991867287,
2310.840131061, 0.991848094,
2310.860563191, 0.992039569,
2310.880995222, 0.992077025,
2310.901427151, 0.992075778,
2310.921859281, 0.991943702,
2310.942291310, 0.992334823,
2310.962723239, 0.992451979,
2310.983155367, 0.992105506,
2311.003587395, 0.992292337,
2311.024019323, 0.992263170,
2311.044451450, 0.992218265,
2311.064883476, 0.992255088,
2311.085315403, 0.992222233,
2311.105747528, 0.991973146,
2311.126179554, 0.992360189,
2311.146611479, 0.991981605,
2311.167043604, 0.991663614,
2311.187475628, 0.991929171,
2311.228339675, 0.992174093,
2311.248771698, 0.991942258,
2311.269203621, 0.991999611,
2311.289635743, 0.992247499,
2311.310067765, 0.992244373,
2311.330499687, 0.992251275,
2311.350931808, 0.991694188,
2311.371363829, 0.991826980,
2311.391795949, 0.991927611,
2311.412227869, 0.992120018,
2311.432659888, 0.992101917,
2311.453092007, 0.991823285,
2311.473523926, 0.991487438,
2311.493955944, 0.991682396,
2311.514388062, 0.991719093,
2311.534819979, 0.991985590,
2311.555251996, 0.991954224,
2311.575684113, 0.991385793,
2311.596116129, 0.992050179,
2311.616548045, 0.991838786,
2311.636980160, 0.992151313,
2311.657412176, 0.992430560,
2311.677844090, 0.992172891,
2311.718708218, 0.991868671,
2311.739140132, 0.992093650,
2311.759572245, 0.992295566,
2311.780004257, 0.992207013,
2311.800436170, 0.992453201,
2311.820868282, 0.991961427,
2311.841300293, 0.991836693,
2311.861732304, 0.992130036,
2311.882164315, 0.991953543,
2311.902596225, 0.991891596,
2311.923028335, 0.992009362,
2311.943460344, 0.991531562,
2311.963892254, 0.991575975,
2311.984324363, 0.992193149,
2312.004756371, 0.991750391,
2312.025188379, 0.991659970,
2312.045620386, 0.991833951,
2312.066052393, 0.992007551,
2312.086484400, 0.991681385,
2312.106916406, 0.991922110,
2312.127348412, 0.991783933,
2312.147780418, 0.991708340,
2312.168212523, 0.991635372,
2312.209076432, 0.992252010,
2312.229508537, 0.992243797,
2312.249940440, 0.992082859,
2312.270372443, 0.992194563,
2312.290804546, 0.992312828,
2312.311236449, 0.992282882,
2312.331668450, 0.991984744,
2312.352100552, 0.992631132,
2312.372532453, 0.992198925,
2312.392964554, 0.992303718,
2312.413396555, 0.991588405,
2312.454260555, 0.991844604,
2312.474692554, 0.991872198,
2312.495124553, 0.992020814,
2312.515556551, 0.991894486,
2312.535988549, 0.992244480,
2312.556420547, 0.992314876,
2312.576852545, 0.992099127,
2312.597284541, 0.991914113,
2312.617716438, 0.991855447,
2312.638148534, 0.992119275,
2312.658580530, 0.991993684,
2312.679012426, 0.992234385,
2312.699444520, 0.992138288,
2312.719876515, 0.991997954,
2312.740308409, 0.991908391,
2312.760740503, 0.991685233,
2312.781172497, 0.992399044,
2312.801604390, 0.991617398,
2312.822036483, 0.991897408,
2312.842468475, 0.991889053,
2312.862900467, 0.992050239,
2312.883332458, 0.992502115,
2312.903764449, 0.992006587,
2312.924196540, 0.992310447,
2312.944628431, 0.992165059,
2312.965060421, 0.992187529,
2312.985492510, 0.992231341,
2313.005924500, 0.992039611,
2313.026356388, 0.992198136,
2313.046788477, 0.991935447,
2313.067220465, 0.992163035,
2313.087652353, 0.992176537,
2313.108084440, 0.992011297,
2313.128516427, 0.991851480,
2313.148948313, 0.991902039,
2313.189812385, 0.992134417,
2313.210244271, 0.991731170,
2313.230676356, 0.991762149,
2313.251108340, 0.992161314,
2313.271540325, 0.991969668,
2313.291972309, 0.991871337,
2313.312404292, 0.992114334,
2313.332836275, 0.992283070,
2313.353268258, 0.992589313,
2313.373700240, 0.992629471,
2313.394132122, 0.992342524,
2313.434996185, 0.992280542,
2313.455428166, 0.992145785,
2313.475860146, 0.992535692,
2313.496292126, 0.992147395,
2313.516724206, 0.992161103,
2313.537156085, 0.992194755,
2313.557588064, 0.992176907,
2313.578020143, 0.992259651,
2313.598452021, 0.992589371,
2313.618883999, 0.992535714,
2313.639316076, 0.992409365,
2313.659747953, 0.992691510,
2313.680179930, 0.992474133,
2313.700612006, 0.992016573,
2313.721043882, 0.992186278,
2313.741475857, 0.992162404,
2313.761907933, 0.992090643,
2313.782339808, 0.992470207,
2313.802771782, 0.992499739,
2313.823203856, 0.992255180,
2313.843635829, 0.991986579,
2313.864067703, 0.992195746,
2313.884499776, 0.992129884,
2313.904931748, 0.991622931,
2313.925363720, 0.992080853,
2313.945795692, 0.992386272,
2313.966227664, 0.992148103,
2313.986659635, 0.992030381,
2314.007091605, 0.992153534,
2314.027523575, 0.992405460,
2314.047955545, 0.992620765,
2314.068387515, 0.992566906,
2314.088819484, 0.992534991,
2314.109251453, 0.992539435,
2314.129683421, 0.992096602,
2314.170547357, 0.992329942,
2314.190979324, 0.991825174,
2314.211411291, 0.992125191,
2314.231843258, 0.992566886,
2314.252275224, 0.992229811,
2314.272707190, 0.992686608,
2314.293139155, 0.992332121,
2314.313571120, 0.992514409,
2314.334003084, 0.992212573,
2314.354435149, 0.991899634,
2314.374867013, 0.992408491,
2314.415731040, 0.992232721,
2314.436162903, 0.992118189,
2314.456594965, 0.992148089,
2314.477026927, 0.992496314,
2314.497458789, 0.991970759,
2314.517890850, 0.992607315,
2314.538322811, 0.992386941,
2314.558754672, 0.992275673,
2314.579186732, 0.992419699,
2314.599618692, 0.992289443,
2314.620050551, 0.992462280,
2314.640482611, 0.992394662,
2314.660914569, 0.992391590,
2314.681346528, 0.992451776,
2314.701778486, 0.992404869,
2314.722210443, 0.992107196,
2314.742642401, 0.992666240,
2314.763074358, 0.992368341,
2314.783506314, 0.992128348,
2314.803938270, 0.992184753,
2314.824370226, 0.992207481,
2314.844802182, 0.992425402,
2314.865234037, 0.992387124,
2314.906098046, 0.992297138,
2314.926530100, 0.992402624,
2314.946961953, 0.992184199,
2314.967393907, 0.991969451,
2314.987825960, 0.992267652,
2315.008257812, 0.992356694,
2315.028689764, 0.992736141,
2315.049121816, 0.992708181,
2315.069553668, 0.992395761,
2315.089985619, 0.992088590,
2315.110417669, 0.992462864,
2315.130849520, 0.992096325,
2315.151281470, 0.991945970,
2315.171713519, 0.992355879,
2315.192145469, 0.992665516,
2315.212577318, 0.992324114,
2315.233009366, 0.992441072,
2315.253441314, 0.992348526,
2315.273873162, 0.991835827,
2315.294305210, 0.992276051,
